Time;Source;Destination;Protocol;Length;Label
0;192168102;19216810255;6;92;1
6331;1921681011;192168103;6;42;1
6347;1921681011;192168103;6;42;1
6350;1921681011;192168103;6;42;1
6352;1921681011;192168103;6;42;1
6355;1921681011;192168103;6;42;1
6357;1921681011;192168103;6;42;1
6359;1921681011;192168103;6;42;1
6361;1921681011;192168103;6;42;1
6364;1921681011;192168103;6;42;1
6366;1921681011;192168103;6;42;1
6368;1921681011;192168103;6;42;1
6370;1921681011;192168103;6;42;1
6372;1921681011;192168103;6;42;1
6374;1921681011;192168103;6;42;1
6376;1921681011;192168103;6;42;1
6378;1921681011;192168103;6;42;1
6380;1921681011;192168103;6;42;1
6382;1921681011;192168103;6;42;1
6395;1921681011;192168103;6;42;1
6397;1921681011;192168103;6;42;1
6404;1921681011;192168103;6;42;1
6406;1921681011;192168103;6;42;1
6415;1921681011;192168103;6;42;1
6420;1921681011;192168103;6;42;1
6422;1921681011;192168103;6;42;1
6442;1921681011;192168103;6;42;1
6445;1921681011;192168103;6;42;1
6447;1921681011;192168103;6;42;1
6452;1921681011;192168103;6;42;1
6454;1921681011;192168103;6;42;1
6458;1921681011;192168103;6;42;1
6460;1921681011;192168103;6;42;1
6465;1921681011;192168103;6;42;1
6470;1921681011;192168103;6;42;1
6475;1921681011;192168103;6;42;1
6480;1921681011;192168103;6;42;1
6485;1921681011;192168103;6;42;1
6490;1921681011;192168103;6;42;1
6492;1921681011;192168103;6;42;1
6496;1921681011;192168103;6;42;1
6498;1921681011;192168103;6;42;1
6501;1921681011;192168103;6;42;1
6503;1921681011;192168103;6;42;1
6518;1921681011;192168103;6;42;1
6519;1921681011;192168103;6;42;1
6520;1921681011;192168103;6;42;1
6521;1921681011;192168103;6;42;1
6523;1921681011;192168103;6;42;1
6524;1921681011;192168103;6;42;1
6526;1921681011;192168103;6;42;1
6527;1921681011;192168103;6;42;1
6529;1921681011;192168103;6;42;1
6530;1921681011;192168103;6;42;1
6531;1921681011;192168103;6;42;1
6532;1921681011;192168103;6;42;1
6533;1921681011;192168103;6;42;1
